suspectible,exposed,infected,carrier,dead,recovered
999997,0,0,3,0,0
999996,1,0,3,0,0
999994,3,0,3,0,0
999994,3,0,3,0,0
999992,5,0,3,0,0
999991,6,0,3,0,0
999991,6,0,3,0,0
999990,7,0,3,0,0
999990,4,2,4,0,0
999988,5,3,3,0,1
999987,6,3,3,0,1
999985,8,3,2,0,2
999984,9,3,2,0,2
999981,9,5,3,0,2
999980,8,7,3,0,2
999979,9,7,2,0,3
999977,9,7,2,0,5
999977,7,8,3,0,5
999976,6,9,4,0,5
999975,6,9,4,0,6
999972,7,11,4,0,6
999970,9,10,4,0,7
999968,10,10,4,0,8
999963,14,11,4,0,8
999961,13,13,4,0,9
999960,12,14,5,0,9
999959,10,16,5,0,10
999959,10,16,4,0,11
999957,8,20,4,0,11
999956,7,20,5,0,12
999954,7,20,6,0,13
999950,10,20,7,0,13
999947,13,20,7,0,13
999942,17,20,7,0,14
999937,19,20,10,0,14
999932,22,21,10,0,15
999928,24,21,11,0,16
999923,26,22,12,0,17
999920,24,26,11,0,19
999915,24,28,12,0,21
999912,21,31,12,0,24
999907,23,33,11,0,26
999900,27,35,12,0,26
999895,30,37,12,0,26
999891,29,37,11,0,32
999887,29,37,10,0,37
999881,33,39,10,0,37
999877,33,42,10,0,38
999870,32,47,9,0,42
999868,29,46,12,0,45
999859,31,49,15,0,46
999852,37,50,15,0,46
999845,40,51,13,0,51
999841,38,53,15,0,53
999837,37,54,15,0,57
999831,39,56,13,0,61
999825,39,58,16,0,62
999816,45,59,17,0,63
999807,47,64,17,0,65
999797,50,70,16,0,67
999793,50,73,15,0,69
999787,50,78,15,0,70
999779,50,80,15,0,76
999769,51,84,17,0,79
999762,48,87,18,0,85
999751,48,93,18,0,90
999744,45,96,19,0,96
999738,48,95,15,0,104
999721,58,100,16,0,105
999710,59,105,18,0,108
999700,59,106,18,0,117
999689,59,108,23,0,121
999675,66,104,24,0,131
999665,65,110,24,0,136
999658,63,114,22,0,143
999645,69,116,21,0,149
999633,67,118,26,0,156
999623,62,128,25,0,162
999611,67,130,24,0,168
999594,66,137,28,0,175
999580,73,136,26,1,184
999564,78,142,27,1,188
999554,73,149,28,1,195
999543,69,156,27,1,204
999528,73,158,27,1,213
999508,77,163,31,1,220
999487,90,164,29,1,229
999467,103,159,30,1,240
999452,106,163,30,1,248
999438,99,174,31,1,257
999419,106,177,28,1,269
999407,97,190,24,1,281
999389,101,193,26,1,290
999368,99,200,30,1,302
999352,95,204,36,1,312
999329,104,213,36,1,317
999306,111,210,35,1,337
999292,108,216,40,1,343
999271,113,221,40,1,354
999246,121,230,40,1,362
999223,122,244,40,1,370
